Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-19731,2024-08-20,2025-04-21,Standard Class,CG-95889,Test-Customer-0,Corporate,United States,Phoenix,Texas,85001,West,PROD-99667,Technology,Tables,Product 0,312.24,4,0.2,189.46,31,2025-04-30 19:53:11,stream
2,TEST-56139,2024-12-10,2025-04-13,Standard Class,CG-65322,Test-Customer-1,Corporate,United States,Houston,California,85001,South,PROD-82122,Technology,Phones,Product 1,829.78,4,0.5,24.84,31,2025-04-30 19:53:11,stream
3,TEST-97719,2025-04-29,2025-04-14,First Class,CG-62517,Test-Customer-2,Home Office,United States,Los Angeles,California,10001,Central,PROD-62545,Office Supplies,Tables,Product 2,751.97,3,0.3,-1.84,31,2025-04-30 19:53:11,stream
4,TEST-60821,2025-03-21,2025-04-26,Same Day,CG-52095,Test-Customer-3,Corporate,United States,New York,California,90001,West,PROD-75150,Furniture,Chairs,Product 3,534.81,4,0.0,185.55,31,2025-04-30 19:53:11,stream
5,TEST-58169,2024-07-12,2025-04-16,First Class,CG-18571,Test-Customer-4,Consumer,United States,Phoenix,Arizona,90001,East,PROD-71409,Office Supplies,Binders,Product 4,870.84,3,0.4,98.34,31,2025-04-30 19:53:11,stream
6,TEST-11428,2025-04-16,2025-04-08,First Class,CG-38815,Test-Customer-5,Consumer,United States,Phoenix,New York,90001,East,PROD-46510,Office Supplies,Tables,Product 5,182.23,9,0.5,95.3,31,2025-04-30 19:53:11,stream
7,TEST-31879,2024-08-24,2025-04-10,Same Day,CG-74759,Test-Customer-6,Corporate,United States,Chicago,California,90001,West,PROD-39985,Furniture,Chairs,Product 6,522.05,7,0.5,347.13,31,2025-04-30 19:53:11,stream
8,TEST-78765,2024-12-13,2025-04-16,First Class,CG-13356,Test-Customer-7,Corporate,United States,New York,Illinois,90001,West,PROD-57754,Office Supplies,Tables,Product 7,875.01,3,0.4,400.89,31,2025-04-30 19:53:11,stream
9,TEST-13271,2024-08-06,2025-04-30,First Class,CG-58430,Test-Customer-8,Consumer,United States,Chicago,New York,85001,Central,PROD-87323,Furniture,Chairs,Product 8,212.36,8,0.3,128.48,31,2025-04-30 19:53:11,stream
10,TEST-33001,2024-08-05,2025-04-01,Second Class,CG-66881,Test-Customer-9,Consumer,United States,Chicago,Illinois,90001,South,PROD-62370,Office Supplies,Binders,Product 9,553.35,4,0.0,378.28,31,2025-04-30 19:53:11,stream
