Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-20977,2024-06-08,2025-04-29,First Class,CG-69468,Test-Customer-0,Corporate,United States,Los Angeles,Texas,77001,East,PROD-58845,Office Supplies,Binders,Product 0,76.97,1,0.3,416.94,33,2025-04-30 19:53:32,stream
2,TEST-25719,2024-10-05,2025-04-17,Same Day,CG-41499,Test-Customer-1,Home Office,United States,Los Angeles,Arizona,90001,South,PROD-20899,Office Supplies,Binders,Product 1,478.85,1,0.4,306.83,33,2025-04-30 19:53:32,stream
3,TEST-24460,2024-06-29,2025-04-08,Standard Class,CG-58538,Test-Customer-2,Corporate,United States,Houston,Texas,90001,South,PROD-91256,Office Supplies,Tables,Product 2,78.82,1,0.0,91.78,33,2025-04-30 19:53:32,stream
4,TEST-65399,2024-10-04,2025-04-15,First Class,CG-62452,Test-Customer-3,Corporate,United States,Houston,Arizona,77001,West,PROD-21443,Office Supplies,Chairs,Product 3,582.47,9,0.3,239.03,33,2025-04-30 19:53:32,stream
5,TEST-59983,2024-05-28,2025-04-04,Same Day,CG-16866,Test-Customer-4,Home Office,United States,Phoenix,Arizona,85001,Central,PROD-57813,Furniture,Tables,Product 4,894.66,9,0.2,337.72,33,2025-04-30 19:53:32,stream
6,TEST-87590,2024-11-29,2025-04-05,First Class,CG-10369,Test-Customer-5,Home Office,United States,Houston,Arizona,85001,South,PROD-22434,Furniture,Binders,Product 5,759.33,5,0.0,438.96,33,2025-04-30 19:53:32,stream
7,TEST-38554,2025-04-20,2025-04-05,Standard Class,CG-97917,Test-Customer-6,Consumer,United States,Los Angeles,California,10001,East,PROD-78541,Furniture,Chairs,Product 6,235.57,6,0.0,-98.04,33,2025-04-30 19:53:32,stream
8,TEST-17562,2024-10-27,2025-04-24,Same Day,CG-62962,Test-Customer-7,Corporate,United States,Chicago,Texas,77001,South,PROD-93749,Furniture,Tables,Product 7,28.8,1,0.1,358.44,33,2025-04-30 19:53:32,stream
9,TEST-93464,2024-09-20,2025-04-16,Standard Class,CG-24072,Test-Customer-8,Home Office,United States,Phoenix,Texas,85001,East,PROD-82852,Technology,Tables,Product 8,219.37,7,0.0,352.92,33,2025-04-30 19:53:32,stream
10,TEST-85774,2024-08-12,2025-04-20,Second Class,CG-15483,Test-Customer-9,Consumer,United States,Phoenix,Texas,90001,East,PROD-23759,Office Supplies,Tables,Product 9,156.51,3,0.1,387.22,33,2025-04-30 19:53:32,stream
