Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-66610,2024-10-23,2025-04-27,First Class,CG-96268,Test-Customer-0,Home Office,United States,Houston,Illinois,10001,Central,PROD-72685,Furniture,Binders,Product 0,976.23,6,0.1,428.37,34,2025-04-30 19:53:37,stream
2,TEST-23501,2024-09-02,2025-04-15,First Class,CG-67399,Test-Customer-1,Corporate,United States,New York,New York,85001,West,PROD-62403,Office Supplies,Phones,Product 1,564.52,8,0.5,280.63,34,2025-04-30 19:53:37,stream
3,TEST-66618,2025-03-23,2025-04-11,Second Class,CG-99976,Test-Customer-2,Consumer,United States,Chicago,Arizona,10001,Central,PROD-65184,Technology,Binders,Product 2,283.53,7,0.0,173.74,34,2025-04-30 19:53:37,stream
4,TEST-34074,2024-09-02,2025-04-07,Standard Class,CG-35229,Test-Customer-3,Home Office,United States,Houston,California,85001,Central,PROD-92858,Furniture,Binders,Product 3,672.64,7,0.1,315.38,34,2025-04-30 19:53:37,stream
5,TEST-43402,2025-03-19,2025-04-25,First Class,CG-50071,Test-Customer-4,Corporate,United States,Phoenix,New York,60601,East,PROD-17076,Technology,Chairs,Product 4,820.82,9,0.0,236.09,34,2025-04-30 19:53:37,stream
6,TEST-98256,2025-04-05,2025-04-05,Second Class,CG-74880,Test-Customer-5,Home Office,United States,Los Angeles,Illinois,77001,Central,PROD-89678,Technology,Storage,Product 5,432.39,2,0.5,394.35,34,2025-04-30 19:53:37,stream
7,TEST-61403,2025-04-11,2025-04-17,First Class,CG-63476,Test-Customer-6,Home Office,United States,New York,Texas,10001,Central,PROD-57170,Office Supplies,Phones,Product 6,740.12,1,0.5,499.54,34,2025-04-30 19:53:37,stream
8,TEST-27352,2025-02-09,2025-04-05,Second Class,CG-24419,Test-Customer-7,Corporate,United States,New York,Illinois,90001,East,PROD-81768,Furniture,Tables,Product 7,43.74,1,0.4,-78.55,34,2025-04-30 19:53:37,stream
9,TEST-28573,2025-02-28,2025-04-02,Same Day,CG-75935,Test-Customer-8,Home Office,United States,Chicago,Texas,77001,East,PROD-51638,Furniture,Chairs,Product 8,67.94,8,0.2,265.89,34,2025-04-30 19:53:37,stream
10,TEST-70362,2024-09-09,2025-04-10,First Class,CG-57345,Test-Customer-9,Home Office,United States,New York,New York,60601,East,PROD-18850,Office Supplies,Tables,Product 9,839.95,3,0.3,-31.39,34,2025-04-30 19:53:37,stream
