Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-17733,2025-01-04,2025-04-02,Same Day,CG-56329,Test-Customer-0,Consumer,United States,Los Angeles,Arizona,85001,West,PROD-23392,Furniture,Binders,Product 0,752.9,5,0.2,421.06,72,2025-04-30 19:56:47,stream
2,TEST-62549,2024-06-07,2025-04-19,Second Class,CG-33700,Test-Customer-1,Home Office,United States,Phoenix,Texas,10001,West,PROD-13077,Furniture,Tables,Product 1,617.89,3,0.2,-80.17,72,2025-04-30 19:56:47,stream
3,TEST-20110,2025-01-07,2025-04-04,First Class,CG-10865,Test-Customer-2,Corporate,United States,Los Angeles,Texas,90001,Central,PROD-67398,Furniture,Binders,Product 2,842.38,2,0.3,-22.28,72,2025-04-30 19:56:47,stream
4,TEST-10537,2024-10-28,2025-04-21,Second Class,CG-77736,Test-Customer-3,Consumer,United States,Phoenix,Texas,90001,South,PROD-23682,Office Supplies,Phones,Product 3,560.66,6,0.1,482.12,72,2025-04-30 19:56:47,stream
5,TEST-79672,2024-08-19,2025-04-02,Same Day,CG-62667,Test-Customer-4,Consumer,United States,Phoenix,Illinois,85001,Central,PROD-67029,Office Supplies,Binders,Product 4,807.13,4,0.5,180.55,72,2025-04-30 19:56:47,stream
6,TEST-77309,2024-11-04,2025-04-11,Standard Class,CG-65019,Test-Customer-5,Consumer,United States,New York,New York,10001,East,PROD-56626,Technology,Chairs,Product 5,704.11,3,0.1,468.98,72,2025-04-30 19:56:47,stream
7,TEST-77177,2024-11-13,2025-04-27,Same Day,CG-88038,Test-Customer-6,Consumer,United States,Phoenix,California,10001,South,PROD-34858,Furniture,Storage,Product 6,938.0,8,0.3,66.51,72,2025-04-30 19:56:47,stream
8,TEST-45647,2025-02-02,2025-04-15,Same Day,CG-62912,Test-Customer-7,Home Office,United States,Los Angeles,California,60601,East,PROD-65203,Technology,Tables,Product 7,591.52,3,0.4,-98.27,72,2025-04-30 19:56:47,stream
9,TEST-50711,2024-09-28,2025-04-23,Second Class,CG-66435,Test-Customer-8,Consumer,United States,New York,Illinois,90001,South,PROD-21053,Office Supplies,Storage,Product 8,20.54,3,0.1,126.46,72,2025-04-30 19:56:47,stream
10,TEST-23684,2024-06-20,2025-04-14,First Class,CG-90306,Test-Customer-9,Corporate,United States,New York,California,10001,Central,PROD-48816,Office Supplies,Tables,Product 9,419.89,6,0.4,192.76,72,2025-04-30 19:56:47,stream
