Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-88170,2024-08-05,2025-04-06,Same Day,CG-57649,Test-Customer-0,Consumer,United States,New York,New York,10001,Central,PROD-51089,Office Supplies,Binders,Product 0,935.77,1,0.2,200.85,73,2025-04-30 19:56:42,stream
2,TEST-51609,2025-01-12,2025-04-11,Second Class,CG-30351,Test-Customer-1,Consumer,United States,Phoenix,Arizona,90001,Central,PROD-65457,Furniture,Chairs,Product 1,335.18,7,0.2,378.65,73,2025-04-30 19:56:42,stream
3,TEST-42084,2025-03-04,2025-04-11,Second Class,CG-81431,Test-Customer-2,Home Office,United States,Phoenix,Texas,10001,East,PROD-56438,Office Supplies,Binders,Product 2,693.81,1,0.5,497.32,73,2025-04-30 19:56:42,stream
4,TEST-43605,2024-05-09,2025-04-23,Standard Class,CG-75700,Test-Customer-3,Consumer,United States,Los Angeles,New York,85001,West,PROD-78852,Office Supplies,Chairs,Product 3,318.99,5,0.4,103.16,73,2025-04-30 19:56:42,stream
5,TEST-65862,2025-03-29,2025-04-02,Second Class,CG-28149,Test-Customer-4,Corporate,United States,Phoenix,Arizona,10001,West,PROD-44379,Technology,Phones,Product 4,623.7,9,0.3,175.98,73,2025-04-30 19:56:42,stream
6,TEST-79427,2024-12-09,2025-04-04,Second Class,CG-27177,Test-Customer-5,Corporate,United States,Houston,New York,85001,South,PROD-18545,Furniture,Chairs,Product 5,235.14,4,0.0,171.81,73,2025-04-30 19:56:42,stream
7,TEST-66677,2025-01-07,2025-04-26,First Class,CG-89410,Test-Customer-6,Corporate,United States,Los Angeles,California,60601,Central,PROD-55666,Office Supplies,Storage,Product 6,241.18,3,0.3,381.49,73,2025-04-30 19:56:42,stream
8,TEST-86876,2024-06-27,2025-04-23,Second Class,CG-67281,Test-Customer-7,Corporate,United States,Los Angeles,Texas,77001,West,PROD-31025,Furniture,Chairs,Product 7,322.19,1,0.2,24.32,73,2025-04-30 19:56:42,stream
9,TEST-72821,2025-04-04,2025-04-07,Same Day,CG-92539,Test-Customer-8,Home Office,United States,Phoenix,Illinois,90001,South,PROD-46684,Office Supplies,Tables,Product 8,656.24,3,0.0,199.74,73,2025-04-30 19:56:42,stream
10,TEST-25458,2024-12-07,2025-04-24,Standard Class,CG-13465,Test-Customer-9,Corporate,United States,Chicago,California,10001,East,PROD-70416,Technology,Phones,Product 9,302.45,4,0.5,459.54,73,2025-04-30 19:56:42,stream
