Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-83205,2024-09-04,2025-04-11,Standard Class,CG-76763,Test-Customer-0,Home Office,United States,New York,Arizona,60601,East,PROD-34443,Technology,Tables,Product 0,406.21,5,0.3,348.35,61,2025-04-30 19:55:52,stream
2,TEST-62427,2024-05-23,2025-04-18,Standard Class,CG-58131,Test-Customer-1,Consumer,United States,New York,New York,77001,West,PROD-19684,Furniture,Binders,Product 1,799.37,9,0.0,335.47,61,2025-04-30 19:55:52,stream
3,TEST-20582,2024-11-13,2025-04-11,Second Class,CG-41169,Test-Customer-2,Home Office,United States,Phoenix,Illinois,85001,Central,PROD-79882,Furniture,Chairs,Product 2,625.26,5,0.5,35.71,61,2025-04-30 19:55:52,stream
4,TEST-89184,2024-05-22,2025-04-07,First Class,CG-81549,Test-Customer-3,Home Office,United States,Chicago,Arizona,10001,East,PROD-23300,Office Supplies,Binders,Product 3,602.09,3,0.0,66.41,61,2025-04-30 19:55:52,stream
5,TEST-46392,2024-05-13,2025-04-27,Same Day,CG-53472,Test-Customer-4,Corporate,United States,New York,Illinois,60601,Central,PROD-81873,Furniture,Phones,Product 4,284.86,6,0.2,174.18,61,2025-04-30 19:55:52,stream
6,TEST-95629,2024-10-27,2025-04-18,Standard Class,CG-45404,Test-Customer-5,Home Office,United States,Los Angeles,Illinois,77001,South,PROD-34151,Technology,Binders,Product 5,858.14,4,0.1,109.35,61,2025-04-30 19:55:52,stream
7,TEST-13112,2024-09-14,2025-04-18,Standard Class,CG-92623,Test-Customer-6,Corporate,United States,New York,Arizona,10001,Central,PROD-88839,Office Supplies,Binders,Product 6,448.89,4,0.2,248.65,61,2025-04-30 19:55:52,stream
8,TEST-22477,2024-08-09,2025-04-13,Standard Class,CG-96914,Test-Customer-7,Home Office,United States,Chicago,Illinois,60601,South,PROD-42318,Furniture,Chairs,Product 7,281.22,7,0.0,117.82,61,2025-04-30 19:55:52,stream
9,TEST-68591,2025-01-09,2025-04-24,Standard Class,CG-68424,Test-Customer-8,Consumer,United States,New York,Texas,10001,Central,PROD-73434,Technology,Tables,Product 8,166.26,9,0.1,37.04,61,2025-04-30 19:55:52,stream
10,TEST-76873,2024-08-12,2025-04-20,Second Class,CG-11146,Test-Customer-9,Home Office,United States,Phoenix,California,85001,Central,PROD-45243,Technology,Storage,Product 9,619.24,5,0.1,291.95,61,2025-04-30 19:55:52,stream
