Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-28890,2024-07-23,2025-04-14,Same Day,CG-89244,Test-Customer-0,Home Office,United States,Chicago,California,77001,Central,PROD-57361,Furniture,Chairs,Product 0,909.57,4,0.1,334.3,70,2025-04-30 19:56:37,stream
2,TEST-88813,2025-04-12,2025-04-25,Standard Class,CG-37829,Test-Customer-1,Home Office,United States,Chicago,Texas,60601,Central,PROD-62558,Technology,Binders,Product 1,178.57,2,0.2,218.81,70,2025-04-30 19:56:37,stream
3,TEST-91770,2024-11-09,2025-04-17,Second Class,CG-75122,Test-Customer-2,Corporate,United States,Houston,Texas,90001,South,PROD-91754,Office Supplies,Binders,Product 2,720.54,7,0.5,122.44,70,2025-04-30 19:56:37,stream
4,TEST-51994,2024-12-18,2025-04-14,Standard Class,CG-99535,Test-Customer-3,Home Office,United States,Houston,Illinois,85001,East,PROD-53185,Office Supplies,Tables,Product 3,145.5,1,0.5,-3.09,70,2025-04-30 19:56:37,stream
5,TEST-41355,2024-09-08,2025-04-20,First Class,CG-59505,Test-Customer-4,Home Office,United States,Houston,Arizona,90001,West,PROD-50065,Office Supplies,Binders,Product 4,928.36,3,0.3,369.43,70,2025-04-30 19:56:37,stream
6,TEST-19072,2024-09-06,2025-04-19,Second Class,CG-52551,Test-Customer-5,Home Office,United States,Chicago,Arizona,90001,East,PROD-47542,Office Supplies,Chairs,Product 5,666.44,5,0.1,7.58,70,2025-04-30 19:56:37,stream
7,TEST-70464,2024-10-23,2025-04-14,Second Class,CG-89257,Test-Customer-6,Home Office,United States,Phoenix,New York,85001,West,PROD-68379,Technology,Phones,Product 6,895.62,5,0.0,233.75,70,2025-04-30 19:56:37,stream
8,TEST-23100,2024-08-25,2025-04-28,Same Day,CG-74901,Test-Customer-7,Home Office,United States,New York,New York,85001,South,PROD-69353,Office Supplies,Chairs,Product 7,414.56,8,0.0,102.37,70,2025-04-30 19:56:37,stream
9,TEST-33423,2024-07-04,2025-04-27,Second Class,CG-23637,Test-Customer-8,Corporate,United States,Houston,California,77001,Central,PROD-42620,Office Supplies,Binders,Product 8,706.0,3,0.4,148.08,70,2025-04-30 19:56:37,stream
10,TEST-56267,2024-10-02,2025-04-10,Standard Class,CG-71710,Test-Customer-9,Corporate,United States,Phoenix,California,10001,Central,PROD-81078,Office Supplies,Storage,Product 9,797.99,9,0.2,84.68,70,2025-04-30 19:56:37,stream
