Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-25274,2025-02-24,2025-04-22,Same Day,CG-62874,Test-Customer-0,Corporate,United States,Chicago,Arizona,90001,Central,PROD-39421,Furniture,Chairs,Product 0,978.74,7,0.2,31.83,9,2025-04-30 19:51:31,stream
2,TEST-36713,2024-05-20,2025-04-07,First Class,CG-95555,Test-Customer-1,Corporate,United States,Chicago,Illinois,90001,West,PROD-65206,Technology,Binders,Product 1,243.37,4,0.5,457.68,9,2025-04-30 19:51:31,stream
3,TEST-15145,2024-09-17,2025-04-04,Second Class,CG-92608,Test-Customer-2,Home Office,United States,Los Angeles,Illinois,85001,South,PROD-37237,Furniture,Tables,Product 2,985.38,8,0.4,-29.61,9,2025-04-30 19:51:31,stream
4,TEST-91165,2024-11-14,2025-04-06,Second Class,CG-53402,Test-Customer-3,Home Office,United States,Los Angeles,Arizona,85001,East,PROD-72385,Office Supplies,Binders,Product 3,277.5,5,0.0,398.03,9,2025-04-30 19:51:31,stream
5,TEST-59169,2024-10-24,2025-04-27,Second Class,CG-70459,Test-Customer-4,Corporate,United States,Chicago,California,85001,West,PROD-98412,Technology,Phones,Product 4,338.6,3,0.5,290.04,9,2025-04-30 19:51:31,stream
6,TEST-26541,2024-10-09,2025-04-03,Standard Class,CG-34510,Test-Customer-5,Consumer,United States,Houston,Arizona,77001,Central,PROD-77893,Furniture,Tables,Product 5,978.94,9,0.1,227.35,9,2025-04-30 19:51:31,stream
7,TEST-59355,2024-11-06,2025-04-15,Standard Class,CG-74046,Test-Customer-6,Corporate,United States,New York,Illinois,85001,East,PROD-32125,Technology,Binders,Product 6,43.34,7,0.1,158.88,9,2025-04-30 19:51:31,stream
8,TEST-46636,2024-10-14,2025-04-28,First Class,CG-76886,Test-Customer-7,Corporate,United States,Chicago,California,60601,Central,PROD-58174,Technology,Phones,Product 7,646.41,8,0.3,462.19,9,2025-04-30 19:51:31,stream
9,TEST-63918,2024-12-17,2025-04-09,Standard Class,CG-54580,Test-Customer-8,Home Office,United States,Phoenix,California,85001,Central,PROD-83877,Office Supplies,Chairs,Product 8,609.98,6,0.2,71.53,9,2025-04-30 19:51:31,stream
10,TEST-91464,2024-08-22,2025-04-02,Same Day,CG-32628,Test-Customer-9,Corporate,United States,New York,New York,85001,Central,PROD-67915,Technology,Phones,Product 9,270.55,5,0.1,431.65,9,2025-04-30 19:51:31,stream
