Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,TEST-65643,2025-01-06,2025-04-27,Same Day,CG-41970,Test-Customer-0,Corporate,United States,Los Angeles,California,60601,East,PROD-54768,Technology,Binders,Product 0,536.42,5,0.2,313.75,65,2025-04-30 19:56:02,stream
2,TEST-41727,2024-09-16,2025-04-01,Standard Class,CG-59223,Test-Customer-1,Consumer,United States,New York,California,90001,East,PROD-38826,Furniture,Chairs,Product 1,614.42,4,0.2,183.46,65,2025-04-30 19:56:02,stream
3,TEST-69857,2025-04-18,2025-04-06,Second Class,CG-34584,Test-Customer-2,Corporate,United States,Chicago,Arizona,60601,East,PROD-38689,Office Supplies,Binders,Product 2,945.43,5,0.5,407.76,65,2025-04-30 19:56:02,stream
4,TEST-70916,2024-11-18,2025-04-20,Standard Class,CG-21680,Test-Customer-3,Home Office,United States,Phoenix,Illinois,90001,South,PROD-61841,Technology,Chairs,Product 3,188.37,9,0.4,71.13,65,2025-04-30 19:56:02,stream
5,TEST-22589,2025-03-19,2025-04-27,Same Day,CG-23624,Test-Customer-4,Consumer,United States,Phoenix,California,85001,West,PROD-31185,Office Supplies,Binders,Product 4,56.74,8,0.0,480.35,65,2025-04-30 19:56:02,stream
6,TEST-42871,2024-05-30,2025-04-03,Same Day,CG-15223,Test-Customer-5,Home Office,United States,Phoenix,California,77001,West,PROD-71607,Office Supplies,Storage,Product 5,285.11,1,0.5,237.05,65,2025-04-30 19:56:02,stream
7,TEST-95143,2025-03-02,2025-04-24,Same Day,CG-80026,Test-Customer-6,Corporate,United States,Los Angeles,Illinois,60601,Central,PROD-93254,Office Supplies,Phones,Product 6,145.29,8,0.3,77.81,65,2025-04-30 19:56:02,stream
8,TEST-45384,2024-08-13,2025-04-02,Standard Class,CG-83898,Test-Customer-7,Corporate,United States,New York,California,10001,West,PROD-85362,Technology,Binders,Product 7,722.63,6,0.2,-93.63,65,2025-04-30 19:56:02,stream
9,TEST-57351,2024-05-15,2025-04-10,Same Day,CG-52167,Test-Customer-8,Consumer,United States,New York,Arizona,10001,East,PROD-18858,Furniture,Phones,Product 8,340.26,5,0.5,342.03,65,2025-04-30 19:56:02,stream
10,TEST-14275,2024-09-23,2025-04-30,Same Day,CG-68854,Test-Customer-9,Consumer,United States,Phoenix,Illinois,60601,South,PROD-98498,Technology,Storage,Product 9,57.98,9,0.4,68.59,65,2025-04-30 19:56:02,stream
